zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,lotarea,bldgarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assesstot,yearbuilt,residfar,commfar,facilfar,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,yearalter,income,assessland
11106,599,41,401,30,26,E260,114,710,4,6C,MR,1,0,5,4500.0,4500.0,1,1.0,0,1,50.0,90.0,50.0,90.0,0,2,N,5,259650.0,1950,3.0,2.0,3.0,4,1003485.0,214739.0,1,1,41,0,0,182930.64418745608,101250.0
11229,8856,1614,315,22,46,E321,61,8900,3,4D,R,0,0,1,1800.0,1143.0,1,2.0,1,1,40.0,45.0,15.0,33.0,0,1,N,5,26939.0,1920,0.9,0.0,2.0,3,1005794.0,152975.0,0,15,37,1,2006,56849.45907479088,7926.0
11423,10476,60,412,29,23,E301,103,2820,4,1E,R,0,0,1,2400.0,1616.0,2,2.5,2,2,24.0,100.0,16.0,38.0,1,1,N,5,26021.0,1920,0.9,0.0,2.0,4,1051702.0,199470.0,0,12,44,0,0,55207.836675518425,13435.0
11413,12908,28,413,29,31,L158,105,3531,4,6C,R,0,0,1,4000.0,1497.0,2,1.67,1,1,40.0,100.0,26.0,48.0,1,1,N,5,25887.0,1945,0.5,0.0,1.0,4,1056876.0,187041.0,0,13,44,0,0,224302.97383371144,10515.0
11233,1502,11,316,23,41,E233,73,3100,3,2B,R,0,0,4,1600.0,4400.0,1,4.0,3,4,20.0,80.0,20.0,55.0,1,0,N,3,85525.0,1905,2.43,0.0,4.8,3,1007235.0,188469.0,0,16,34,0,2014,292771.7568615241,38981.0
11419,9514,48,410,27,28,E285,106,3100,4,2C,R,0,0,1,1943.0,1388.0,1,2.0,1,1,19.25,100.92,16.0,38.0,1,2,N,5,22572.0,1930,0.9,0.0,2.0,4,1030591.0,188923.0,0,10,45,0,0,106739.17261601279,6990.0
11234,8366,75,318,22,46,E323,63,8822,3,4C,R,0,0,1,2454.0,2166.0,1,2.0,1,1,22.0,111.59,14.0,51.58,0,2,N,5,23404.0,1996,0.6,0.0,1.0,3,1008079.0,165674.0,0,18,35,0,0,60743.27320882914,4982.0
10466,5003,28,212,11,12,E038,47,520,2,4E,R,0,0,1,3159.0,2394.0,2,2.0,2,2,33.25,95.0,18.0,39.0,0,1,N,5,26830.0,1932,0.9,0.0,2.0,2,1025634.0,264306.0,0,12,24,0,0,112080.54495276623,9207.0
11231,444,68,306,15,39,E279,76,2500,3,3C,R,0,0,1,1550.0,1140.0,1,2.0,2,2,15.5,100.0,15.5,35.0,0,2,N,5,15045.0,1899,2.0,0.0,2.0,3,986508.0,186830.0,0,6,38,0,0,282530.4807023417,3358.0
11233,1540,53,316,23,37,E233,73,3700,3,2B,R,0,0,2,2667.0,2200.0,1,3.0,6,6,26.67,100.0,26.67,69.0,0,0,N,5,47682.0,1910,2.43,0.0,4.8,3,1010056.0,186839.0,0,16,34,0,0,148466.88810603553,10829.0
10456,2887,84,204,9,16,E092,44,2500,2,3B,R,0,0,2,4018.0,16590.0,1,6.0,25,25,41.0,98.0,41.0,85.0,0,1,N,5,541350.0,1914,3.44,0.0,4.8,2,1009784.0,244216.0,0,4,22,0,0,167868.19805693187,90450.0
11411,12765,2,413,29,27,L165,105,3531,4,5D,R,0,0,1,4000.0,1163.0,2,1.5,1,1,40.0,100.0,25.0,38.0,1,1,N,3,25500.0,1945,0.5,0.0,1.0,4,1058176.0,191185.0,0,13,44,0,0,131192.949171122,11700.0
11433,10270,201,412,29,27,E275,113,3510,4,4D,R,0,0,1,1440.0,1320.0,1,2.0,2,2,16.0,90.0,16.0,33.0,0,2,N,5,20956.0,1960,0.9,0.0,2.0,4,1044903.0,192827.0,0,12,44,0,0,100851.49518174212,6117.0
11370,972,52,401,30,22,E263,114,620,4,2E,R,0,0,1,4000.0,1538.0,1,2.0,1,1,40.0,100.0,27.0,35.0,1,1,N,5,38942.0,1935,0.9,0.0,2.0,4,1013802.0,219673.0,0,1,42,0,2009,282123.250133315,8362.0
