,scores,support
zipcode_10016,9375.999999999942,False
zipcode_10017,9386.000000000005,True
zipcode_10018,8602.41666666664,False
zipcode_10019,8987.708333333285,False
zipcode_10021,9377.99999999985,False
zipcode_10022,9378.999999999973,False
zipcode_10023,8706.2142857144,False
zipcode_10024,9372.000000000053,False
zipcode_10025,9097.794117646998,False
zipcode_10026,9379.999999999887,False
zipcode_10027,7280.111111111002,False
zipcode_10028,8655.615384615327,False
zipcode_10029,7348.490196078432,False
zipcode_10030,7743.601495726372,False
zipcode_10031,7257.126543209764,False
zipcode_10032,7957.1212121212775,False
zipcode_10033,8338.555555555437,False
zipcode_10034,7962.121212121204,False
zipcode_10035,7809.833333333245,False
zipcode_10036,8953.136363636375,False
zipcode_10037,6647.958333333088,False
zipcode_10038,8213.12499999999,False
zipcode_10039,9387.999999999993,True
zipcode_10040,9385.999999999747,False
zipcode_10065,8857.277777777765,False
zipcode_10075,9382.999999999962,False
zipcode_10128,9041.607142857187,False
zipcode_10301,6116.784107860177,False
zipcode_10302,5189.502523477089,False
zipcode_10303,5508.331941082031,False
zipcode_10304,5601.843092964518,False
zipcode_10305,5700.989966083725,False
zipcode_10306,5498.45422697612,False
zipcode_10307,6460.952844439009,False
zipcode_10308,5062.201217457212,False
zipcode_10309,5171.698955964885,False
zipcode_10310,5458.254748444664,False
zipcode_10312,5672.408748291617,False
zipcode_10314,4589.213025062791,False
zipcode_10451,6994.130769230706,False
zipcode_10452,7808.8333333330065,False
zipcode_10453,5489.270721187842,False
zipcode_10454,7187.8275689222355,False
zipcode_10455,5854.592222222166,False
zipcode_10456,5660.37269007099,False
zipcode_10457,6992.6160321155185,False
zipcode_10458,6245.079612239236,False
zipcode_10459,5932.410204081378,False
zipcode_10460,5805.93191964337,False
zipcode_10461,4735.561409416136,False
zipcode_10462,4916.6757721033655,False
zipcode_10463,5425.411287477706,False
zipcode_10464,5497.951736110432,False
zipcode_10465,6041.398866303833,False
zipcode_10466,5002.762906860948,False
zipcode_10467,4633.604548142138,False
zipcode_10468,5598.349277574051,False
zipcode_10469,4239.859423320799,False
zipcode_10470,5138.823124262072,False
zipcode_10471,7589.137820513276,False
zipcode_10472,4712.567061236973,False
zipcode_10473,5329.325343093605,False
zipcode_10474,5998.271978021845,False
zipcode_10475,6860.342592592417,False
zipcode_11001,4053.542503322665,False
zipcode_11004,4411.930110629863,False
zipcode_11040,3756.3692022265705,False
zipcode_11101,7096.280852481008,False
zipcode_11102,4862.328192811014,False
zipcode_11103,5379.564143169888,False
zipcode_11104,5284.424365079054,False
zipcode_11105,3327.7466352442525,False
zipcode_11106,4476.0085911942115,False
zipcode_11201,7990.824436936641,False
zipcode_11203,4691.0057973833445,False
zipcode_11204,5494.744050226345,False
zipcode_11205,7338.5321088439805,False
zipcode_11206,6791.31320982906,False
zipcode_11207,5266.300616800331,False
zipcode_11208,4511.489791454812,False
zipcode_11209,5334.7215841205225,False
zipcode_11210,4185.780859951985,False
zipcode_11211,5627.428718341607,False
zipcode_11212,5248.573851110313,False
zipcode_11213,4785.772891557078,False
zipcode_11214,3783.4511596541274,False
zipcode_11215,4942.60514916709,False
zipcode_11216,5043.283361272382,False
zipcode_11217,6683.252335858891,False
zipcode_11218,3830.842633533186,False
zipcode_11219,6030.281945471181,False
zipcode_11220,5018.487746650646,False
zipcode_11221,6181.1067730542445,False
zipcode_11222,5838.343377943741,False
zipcode_11223,4489.048571518322,False
zipcode_11224,6239.283666154342,False
zipcode_11225,5608.680848350099,False
zipcode_11226,4850.184164303178,False
zipcode_11228,3729.948058894903,False
zipcode_11229,4712.764246588597,False
zipcode_11230,4766.985767602235,False
zipcode_11231,6395.6656403308,False
zipcode_11232,5196.984263393335,False
zipcode_11233,5740.963659659786,False
zipcode_11234,4859.567052299406,False
zipcode_11235,4889.305631135408,False
zipcode_11236,4735.12091887234,False
zipcode_11237,5665.408851911747,False
zipcode_11238,6876.975808625539,False
zipcode_11239,6515.52777777762,False
zipcode_11249,8186.314705882275,False
zipcode_11354,4885.867863018575,False
zipcode_11355,4501.541422300719,False
zipcode_11356,4608.295909468439,False
zipcode_11357,5190.628754761619,False
zipcode_11358,3453.948632743186,False
zipcode_11360,7015.794468923385,False
zipcode_11361,4531.001345785403,False
