zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,ownertype,lotarea,bldgarea,resarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,last_modif
11436,12064.0,46.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1900.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,95.0,0.0,0.0,0.0,0.0,N,5.0,2984.0,2984.0,1920.0,4.0,1041912.0,184468.0,0.0,12.0,45.0,0.0,0.0
11436,12103.0,39.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R5D,0.0,0.0,10.0,,3192.0,0.0,1600.0,0.0,0.0,0.0,0.0,40.02,80.44,0.0,0.0,0.0,0.0,Y,3.0,47250.0,47250.0,1920.0,4.0,1042714.0,184516.0,0.0,12.0,45.0,0.0,0.0
11436,12057.0,60.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3-1,0.0,0.0,11.0,,5114.0,0.0,1600.0,0.0,0.0,0.0,0.0,40.0,128.58,0.0,0.0,0.0,0.0,N,5.0,230.0,230.0,1920.0,4.0,1040140.0,184571.0,0.0,12.0,45.0,0.0,0.0
11436,12101.0,25.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R5D,0.0,0.0,11.0,,2187.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.12,109.41,0.0,0.0,0.0,0.0,N,3.0,99000.0,99000.0,1920.0,4.0,1042048.0,184611.0,0.0,12.0,45.0,0.0,0.0
11436,12048.0,78.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,6C,R5D,0.0,0.0,11.0,,30.0,0.0,1600.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,Y,8.0,450.0,450.0,1920.0,4.0,1041739.0,184804.0,0.0,12.0,44.0,0.0,0.0
11436,12048.0,86.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,6C,R5D,0.0,0.0,11.0,X,1818.0,0.0,1600.0,0.0,0.0,0.0,0.0,22.17,82.0,0.0,0.0,0.0,0.0,Y,3.0,72000.0,72000.0,1920.0,4.0,1041517.0,184864.0,0.0,12.0,44.0,0.0,0.0
11436,12056.0,119.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R5D,0.0,0.0,11.0,,763.0,0.0,1600.0,0.0,0.0,0.0,0.0,8.0,95.33,0.0,0.0,0.0,0.0,N,8.0,3600.0,3600.0,1920.0,4.0,1039846.0,184864.0,0.0,12.0,45.0,0.0,0.0
11436,12047.0,39.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,6C,R5D,0.0,0.0,11.0,,2112.0,0.0,1600.0,0.0,0.0,0.0,0.0,22.17,95.25,0.0,0.0,0.0,0.0,Y,5.0,70650.0,70650.0,1920.0,4.0,1041272.0,184898.0,0.0,12.0,44.0,0.0,0.0
11436,12036.0,89.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R5D,0.0,0.0,11.0,C,3.0,0.0,1600.0,0.0,0.0,0.0,0.0,6.33,1.0,0.0,0.0,0.0,0.0,Y,8.0,450.0,450.0,1920.0,4.0,1040269.0,184968.0,0.0,12.0,45.0,0.0,0.0
11436,12038.0,13.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,C,3020.0,0.0,1600.0,0.0,0.0,0.0,0.0,30.0,100.67,0.0,0.0,0.0,0.0,N,3.0,3460.0,3460.0,1920.0,4.0,1040319.0,185358.0,0.0,12.0,45.0,0.0,0.0
11436,12031.0,25.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,,1900.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,95.0,0.0,0.0,0.0,0.0,N,5.0,2232.0,2232.0,1920.0,4.0,1039632.0,185547.0,0.0,12.0,45.0,0.0,0.0
11436,12041.0,99.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,6C,R3A,0.0,0.0,11.0,,2367.0,0.0,1600.0,0.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0,0.0,Y,5.0,1491.0,1491.0,1920.0,4.0,1041050.0,185564.0,0.0,12.0,44.0,0.0,0.0
11436,12031.0,24.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,,1900.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,95.0,0.0,0.0,0.0,0.0,N,5.0,2232.0,2232.0,1920.0,4.0,1039629.0,185568.0,0.0,12.0,45.0,0.0,0.0
11436,12116.0,8.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,5250.0,0.0,1600.0,0.0,0.0,0.0,0.0,50.0,105.0,0.0,0.0,0.0,0.0,N,5.0,11942.0,11942.0,1920.0,4.0,1042507.0,182393.0,0.0,12.0,45.0,0.0,0.0
11436,12116.0,12.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2654.0,0.0,1600.0,0.0,0.0,0.0,0.0,25.0,106.17,0.0,0.0,0.0,0.0,N,3.0,6567.0,6567.0,1920.0,4.0,1042446.0,182400.0,0.0,12.0,45.0,0.0,0.0
11436,12116.0,14.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2500.0,0.0,1600.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2984.0,2984.0,1920.0,4.0,1042492.0,182459.0,0.0,12.0,45.0,0.0,0.0
11436,12093.0,19.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,PARK,0.0,0.0,9.0,C,266.0,0.0,1600.0,0.0,0.0,0.0,0.0,1.0,266.0,0.0,0.0,0.0,0.0,Y,8.0,900.0,900.0,1920.0,4.0,1039798.0,182505.0,0.0,12.0,45.0,0.0,0.0
11436,12091.0,134.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,950.0,0.0,1600.0,1.0,0.0,0.0,0.0,50.0,19.0,0.0,0.0,0.0,0.0,N,5.0,565.0,565.0,1920.0,4.0,1041554.0,182581.0,0.0,12.0,45.0,0.0,0.0
11436,12095.0,6.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3-2,0.0,0.0,11.0,,4712.0,0.0,1600.0,0.0,0.0,0.0,0.0,41.33,114.0,0.0,0.0,0.0,0.0,N,3.0,5073.0,5073.0,1920.0,4.0,1040485.0,182684.0,1.0,12.0,45.0,0.0,0.0
11436,12090.0,183.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1775.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,88.75,0.0,0.0,0.0,0.0,N,5.0,2386.0,2386.0,1920.0,4.0,1041397.0,182832.0,0.0,12.0,45.0,0.0,0.0
11436,12090.0,180.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1290.0,0.0,1600.0,0.0,0.0,0.0,0.0,15.0,86.0,0.0,0.0,0.0,0.0,N,5.0,1789.0,1789.0,1920.0,4.0,1041398.0,182889.0,0.0,12.0,45.0,0.0,0.0
11436,12084.0,150.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,475.0,0.0,1600.0,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,N,8.0,50.0,50.0,1920.0,4.0,1040082.0,183020.0,0.0,12.0,45.0,0.0,0.0
11436,12110.0,66.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2450.0,0.0,1600.0,0.0,0.0,0.0,0.0,25.0,98.0,0.0,0.0,0.0,0.0,N,5.0,2984.0,2984.0,1920.0,4.0,1042176.0,183061.0,0.0,12.0,45.0,0.0,0.0
11436,12082.0,21.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1900.0,0.0,1600.0,0.0,0.0,0.0,0.0,25.0,76.0,0.0,0.0,0.0,0.0,N,5.0,2233.0,2233.0,1920.0,4.0,1041693.0,183105.0,0.0,12.0,45.0,0.0,0.0
