"","block","lot","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","ltdheight","landuse","ownertype","lotarea","bldgarea","resarea","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","assessland","assesstot","yearbuilt","borocode","xcoord","ycoord","edesignum","sanitdistrict","healthcenterdistrict","pfirm15_flag","last_modif"
"53727",1260,13,"03",30,25,NA,"E307",115,1022,4,"2C","R7-1","0","0","11","",1140,0,1600,0,0,0,0,53.02,43,0,0,"0","0","Y","5",7128,7128,1920,4,1014024,213429,"0","3","42","0",0
"53759",10795,8,"13",29,27,NA,"E304",105,2920,4,"3E","R2","0","0","10","",1983,0,1600,0,0,0,0,20,99.18,0,0,"0","0","Y","5",33750,33750,1920,4,1058648,198977,"0","13","44","0",0
"53776",13407,25,"13",29,31,NA,"E311",105,3620,4,"8E","M1-1","0","0","10","",4260,0,1600,0,0,0,0,40,107,0,0,"0","0","N","3",85500,85500,1920,4,1049210,179752,"0","13","44","0",0
"53781",8273,165,"18",19,42,NA,"E290",75,6420,3,"1C","R5","0","0","11","X",3600,0,2064,0,0,0,0,95,40,0,0,"0","0","Y","5",5671,5671,1920,3,1016394,174563,"0","18","33","0",0
"53817",317,14,"01",31,49,NA,"L083",120,600,5,"3D","R2","0","0","10","",2500,0,1500,1,1,0,0,25,100,0,25,"0","0","N","5",5208,7072,1950,5,949766,166996,"0","1","51","0",0
"53915",5591,75,"10",8,13,NA,"E072",45,3220,2,"3C","R4-1","0","0","10","",2500,0,2001,0,0,0,0,25,100,0,0,"0","0","N","5",5461,6988,1920,2,1034289,237197,"0","10","26","0",0
"53936",7932,131,"17",18,45,NA,"E310",67,7420,3,"5E","M1-1","0","0","10","",27850,0,2064,0,0,0,0,329,168,0,0,"0","0","Y","5",285300,285300,1920,3,1006231,173337,"0","17","35","0",0
"54017",4451,155,"11",11,13,NA,"E097",49,820,2,"2D","R4-1","0","0","11","",119,0,2001,0,0,0,0,10,26.08,0,0,"0","0","Y","8",10,10,1920,2,1023735,254505,"0","11","24","0",0
"54042",12675,135,"12",29,27,NA,"E317",113,3532,4,"7E","R3A","0","0","11","",1200,0,1600,0,0,0,0,12,100,0,0,"0","0","N","5",890,890,1920,4,1052322,189658,"0","12","44","0",0
"54070",4764,5,"12",11,12,NA,"L061",47,620,2,"2E","R4-1","0","0","11","",3230,0,2001,0,0,0,0,138,95,0,0,"0","0","Y","5",1491,1491,1920,2,1027690,257452,"0","12","24","0",0
"54083",4945,9,"12",11,12,NA,"E038",47,710,2,"5E","R4A","0","0","11","",1695,0,2001,0,0,0,0,30.09,77.15,0,0,"0","0","Y","5",2874,2874,1920,2,1030095,262540,"0","12","24","0",0
"54168",4924,31,"12",11,12,NA,"E038",47,710,2,"5E","R4","0","0","11","",9459,0,2001,0,0,0,0,88.67,10.67,0,0,"0","0","Y","5",17971,17971,1920,2,1029801,261258,"0","12","24","0",0
"54173",5947,426,"08",10,11,NA,"E052",50,100,2,"3E","R1-1","1","0","11","",14224,0,2001,0,0,0,0,135.58,84.17,0,0,"0","0","Y","5",40089,40089,1920,2,1009573,269967,"0","8","21","0",0
"54219",745,80,"01",30,22,NA,"L117",114,620,4,"5E","R5","0","0","11","",2875,0,1600,0,0,0,0,25.17,123,0,0,"0","0","Y","5",5671,5671,1920,4,1010401,216901,"0","1","42","0",0
"54254",7408,183,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","9","",20648,0,1500,0,0,0,0,60,173,0,0,"0","0","Y","5",215100,215100,1920,5,917476,134546,"0","3","51","0",0
"54337",398,1,"01",31,50,NA,"L083",121,600,5,"4E","R3X","0","0","10","",3600,0,1500,1,1,0,0,48,75,10,20,"0","1","N","3",7548,9768,1950,5,947394,164743,"0","1","51","0",0
"54351",3810,90,"05",24,30,NA,"E319",104,1810,4,"4E","M1-1","0","0","11","X",3520,0,1600,0,0,0,0,16,101,0,0,"0","0","Y","5",71550,71550,1920,4,1021532,197039,"0","5","46","0",0
"54379",15922,101,"14",27,31,NA,"E265",101,3800,4,"2E","R6","0","0","11","C",5758,0,1600,0,0,0,0,175.6,53.68,0,0,"0","0","Y","3",6577,6577,1920,4,1043919,154331,"0","14","45","0",0
"54386",5870,597,"08",10,11,NA,"E052",50,100,2,"3E","R3A","0","0","11","",2375,0,2001,0,0,0,0,25,95,0,0,"0","0","N","5",4186,4186,1920,2,1011276,270031,"0","8","21","0",0
"54394",2873,130,"01",31,49,NA,"E153",120,700,5,"1C","R3-2","0","0","11","",1260,0,1500,0,0,0,0,15,79,0,0,"0","0","Y","5",166,166,1920,5,963079,163277,"0","1","51","0",0
"54399",835,218,"02",31,50,NA,"E160",122,600,5,"3D","R1-2","1","0","11","",2140,0,1500,0,0,0,0,25,122,0,0,"0","0","Y","5",2984,2984,1920,5,958471,159524,"0","2","51","0",0
"54419",3784,29,"05",24,30,NA,"E319",104,1810,4,"4D","R4-1","0","0","10","",1405,0,1600,1,1,0,0,12.42,113.17,10,20,"0","1","N","5",2474,3913,1950,4,1018248,198068,"0","5","46","0",0
"54432",6258,6,"11",26,19,NA,"E320",111,2121,4,"1C","R3-2","0","0","11","",1500,0,1600,0,0,0,0,15,100,0,0,"0","0","Y","5",2217,2217,1920,4,1044213,216002,"0","11","43","0",0
"54444",13432,21,"13",29,31,NA,"E311",105,3620,4,"8E","M1-1","0","0","11","C",3600,0,1600,0,0,0,0,40,100,0,0,"0","0","Y","5",81000,81000,1920,4,1049919,178536,"0","13","44","0",0
"54452",520,13,"01",31,49,NA,"L077",120,500,5,"1D","R3X","0","0","11","",1850,0,1500,0,0,0,0,25,74,0,0,"0","0","N","5",4436,4436,1920,5,960984,167741,"0","1","51","0",0
"54490",8038,17,"03",31,51,NA,"L076",123,800,5,"8E","R3A","1","0","11","",2750,0,1500,1,0,0,0,25,110.14,0,0,"0","0","N","5",49500,49500,1920,5,917969,126472,"0","3","51","0",0
"54508",761,228,"01",30,22,NA,"E263",114,120,4,"2E","R4","0","0","11","",1083,0,1600,0,0,0,0,19.67,57,0,0,"0","0","N","5",890,890,1920,4,1012000,220097,"0","1","41","0",0
